1,0.2447973137512947,[1, 49.0, 197.0, 43.0, 59.0, 17.0, 17.0, 112.0, 170.0, 22.0, 84.0]
3,0.2152893190843602,[3, 162.0, 80.0, 120.0, 17.0, 64.0, 58.0, 168.0, 198.0, 147.0, 102.0]
5,0.1918324700867038,[5, 170.0, 18.0, 93.0, 159.0, 15.0, 191.0, 159.0, 117.0, 150.0, 100.0]
7,0.16324377992944614,[7, 144.0, 97.0, 36.0, 160.0, 109.0, 7.0, 86.0, 81.0, 56.0, 52.0]
42,0.15652383220803268,[8, 50, 117, 147, 158, 77, 111, 87, 81, 179, 149]
97,0.14802992002469886,[8, 119, 117, 61, 157, 84, 32, 86, 82, 81, 77]
136,0.14097527067166202,[8, 120, 118, 94, 156, 83, 32, 110, 93, 83, 144]
175,0.13115304204623346,[8, 120, 98, 92, 156, 82, 110, 107, 90, 120, 103]
353,0.12939799996283646,[8, 120, 99, 93, 147, 82, 97, 107, 92, 120, 103]
491,0.12593933217183695,[8, 119, 99, 93, 147, 82, 97, 107, 92, 120, 103]
2684,0.1178509554038409,[8, 119, 99, 93, 147, 82, 97, 107, 92, 120, 103]
