0,0,0.2447973137512947,[1, 49.0, 197.0, 43.0, 59.0, 17.0, 17.0, 112.0, 170.0, 22.0, 84.0]
0,1,0.25800914801024394,[2, 40.0, 137.0, 157.0, 175.0, 67.0, 131.0, 87.0, 85.0, 199.0, 169.0]
0,2,0.2152893190843602,[3, 162.0, 80.0, 120.0, 17.0, 64.0, 58.0, 168.0, 198.0, 147.0, 102.0]
0,3,0.230493652394299,[4, 43.0, 30.0, 122.0, 38.0, 12.0, 127.0, 114.0, 73.0, 173.0, 6.0]
0,4,0.1918324700867038,[5, 170.0, 18.0, 93.0, 159.0, 15.0, 191.0, 159.0, 117.0, 150.0, 100.0]
0,5,0.2990785133704522,[6, 169.0, 117.0, 113.0, 99.0, 107.0, 6.0, 169.0, 152.0, 34.0, 200.0]
0,6,0.16324377992944614,[7, 144.0, 97.0, 36.0, 160.0, 109.0, 7.0, 86.0, 81.0, 56.0, 52.0]
0,7,0.18377992781968813,[8, 94.0, 33.0, 103.0, 103.0, 134.0, 137.0, 155.0, 121.0, 97.0, 7.0]
0,8,1.1702991030243282,[9, 24.0, 155.0, 23.0, 105.0, 133.0, 16.0, 119.0, 49.0, 75.0, 86.0]
0,9,0.2920901028381149,[10, 109.0, 16.0, 73.0, 88.0, 128.0, 86.0, 31.0, 51.0, 31.0, 71.0]
1,0,0.21075041904953248,[3, 54, 200, 38, 54, 12, 12, 107, 165, 27, 79]
1,1,0.1912286717050188,[4, 35, 132, 162, 170, 62, 126, 82, 80, 194, 164]
1,5,0.22337271565529143,[8, 174, 112, 108, 104, 102, 11, 164, 147, 29, 195]
1,8,0.2586262366775104,[10, 29, 150, 28, 110, 138, 11, 114, 54, 70, 81]
2,5,0.2188770536482949,[9, 169, 107, 103, 109, 103, 12, 159, 142, 34, 190]
2,9,0.24683556729582573,[9, 109, 26, 73, 88, 119, 86, 41, 61, 41, 62]
3,0,0.20726026689595578,[7, 64, 190, 34, 64, 22, 5, 97, 155, 37, 69]
3,2,0.16576331142944692,[8, 147, 85, 105, 32, 69, 53, 153, 183, 132, 97]
3,3,0.1759019706694545,[7, 58, 45, 107, 53, 27, 112, 109, 80, 158, 15]
3,4,0.18396298237018388,[7, 155, 33, 78, 157, 30, 176, 146, 102, 135, 85]
3,5,0.1871647415898834,[9, 164, 102, 98, 114, 105, 11, 154, 137, 39, 185]
3,8,0.22926891568204227,[8, 39, 140, 35, 120, 134, 6, 105, 63, 62, 72]
3,9,0.1719190889468248,[7, 114, 31, 68, 93, 114, 81, 46, 66, 46, 57]
4,1,0.15652383220803268,[8, 50, 117, 147, 158, 77, 111, 87, 81, 179, 149]
4,8,0.1954026717673097,[7, 44, 135, 38, 125, 129, 6, 100, 68, 57, 67]
5,7,0.17572552549222062,[8, 109, 58, 98, 128, 119, 122, 130, 96, 92, 32]
6,4,0.1798033747342413,[8, 140, 48, 83, 158, 45, 161, 131, 87, 140, 90]
8,7,0.16329266745186094,[8, 94, 73, 113, 143, 104, 111, 115, 82, 107, 47]
9,4,0.17284895144609974,[9, 125, 63, 98, 157, 60, 146, 116, 80, 155, 105]
9,6,0.14802992002469886,[8, 119, 117, 61, 157, 84, 32, 86, 82, 81, 77]
